Rank,Bank,Year
46,EY LLP (Financial Advisory Services),2016
47,Stifel Financial Corp.,2016
48,LionTree Advisors LLC,2016
49,Lloyds Banking Group PLC,2016
50,Sandler O'Neill + Partners L.P.,2016
1,Goldman Sachs & Co.,2017
2,Morgan Stanley,2017
3,Centerview Partners,2017
4,Evercore,2017
5,J.P. Morgan,2017
6,Bank of America Corp.,2017
7,Greenhill & Co. Inc.,2017
8,Perella Weinberg Partners,2017
9,Moelis & Company,2017
10,PJT Partners,2017
11,Credit Suisse,2017
12,Houlihan Lokey,2017
13,PJ SOLOMON,2017
14,William Blair,2017
15,UBS,2017
16,Baird,2017
17,Cowen Inc.,2017
18,Citi Institutional Clients Group,2017
19,Loop Capital Markets,2017
20,Lazard,2017
21,Barclays Investment Bank (Americas),2017
22,Deutsche Bank AG,2017
23,Guggenheim Securities,2017
24,Qatalyst Partners,2017
25,Jefferies,2017
26,Rothschild,2017
27,Wells Fargo & Company,2017
28,Allen & Company LLC,2017
29,RBC Capital Markets,2017
30,Macquarie Group (U.S.),2017
31,Deloitte Corporate Finance LLC,2017
32,BMO Capital Markets,2017
33,Piper Jaffray Companies,2017
34,HSBC North America Holdings,2017
35,Oppenheimer & Co.,2017
36,BNP Paribas USA,2017
37,Bank of New York Mellon Corporation,2017
38,Tudor Pickering Holt & Co.,2017
39,Nomura Holdings Inc.,2017
40,Royal Bank of Scotland Group plc,2017
41,Raymond James Financial Inc.,2017
42,KPMG Corporate Finance,2017
43,Societe Generale Corporate & Investment Banking,2017
44,PwC Corporate Finance LLP,2017
45,Cantor Fitzgerald,2017
46,EY LLP (Financial Advisory Services),2017
47,Brown Brothers Harriman,2017
48,Stifel Financial Corp.,2017
49,LionTree Advisors LLC,2017
50,Credit Agricole Corporate and Investment Bank,2017
1,Goldman Sachs & Co.,2018
2,Evercore,2018
3,Centerview Partners,2018
4,Morgan Stanley,2018
5,Moelis & Company,2018
6,Greenhill & Co. Inc.,2018
7,Lazard,2018
8,Perella Weinberg Partners,2018
9,Bank of America Corp.,2018
10,PJT Partners,2018
11,Houlihan Lokey,2018
12,William Blair,2018
13,PJ SOLOMON,2018
14,Baird,2018
15,Cowen Inc.,2018
16,Credit Suisse,2018
17,Loop Capital Markets,2018
18,J.P. Morgan,2018
19,Barclays Investment Bank (Americas),2018
20,Guggenheim Securities,2018
21,Rothschild,2018
22,Qatalyst Partners,2018
23,Citi Institutional Clients Group,2018
24,Jefferies,2018
25,Allen & Company LLC,2018
26,Deutsche Bank AG,2018
27,UBS,2018
28,Wells Fargo & Company,2018
29,RBC Capital Markets,2018
30,Macquarie Group (U.S.),2018
31,Piper Jaffray Companies,2018
32,BMO Capital Markets,2018
33,Oppenheimer & Co.,2018
34,Nomura Holdings Inc.,2018
35,BNP Paribas USA,2018
36,HSBC North America Holdings,2018
37,Deloitte Corporate Finance LLC,2018
38,Royal Bank of Scotland Group plc,2018
39,Bank of New York Mellon Corporation,2018
40,Tudor Pickering Holt & Co.,2018
41,Raymond James Financial Inc.,2018
42,LionTree Advisors LLC,2018
43,Cantor Fitzgerald,2018
44,Brown Brothers Harriman,2018
45,EY LLP (Financial Advisory Services),2018
46,Societe Generale Corporate & Investment Banking,2018
47,Stifel Financial Corp.,2018
48,CIBC World Markets,2018
49,Sandler O'Neill + Partners L.P.,2018
50,Credit Agricole Corporate and Investment Bank,2018
1,Goldman Sachs & Co.,2019
2,Evercore,2019
3,Centerview Partners,2019
4,Morgan Stanley,2019
5,Greenhill & Co. Inc.,2019
6,Moelis & Company,2019
7,Perella Weinberg Partners,2019
8,Guggenheim Securities,2019
9,Bank of America Corp.,2019
10,Lazard,2019
11,Houlihan Lokey,2019
12,William Blair,2019
13,PJ SOLOMON,2019
14,Harris Williams,2019
15,Cowen Inc.,2019
16,UBS,2019
17,Loop Capital Markets,2019
18,J.P. Morgan,2019
19,Credit Suisse,2019
20,Barclays Investment Bank (Americas),2019
21,PJT Partners,2019
22,Citi Institutional Clients Group,2019
23,Jefferies,2019
24,Rothschild,2019
25,Allen & Company LLC,2019
26,Qatalyst Partners,2019
27,Deutsche Bank AG,2019
28,RBC Capital Markets,2019
29,Wells Fargo & Company,2019
30,Macquarie Group (U.S.),2019
31,Piper Jaffray Companies,2019
32,BMO Capital Markets,2019
33,Oppenheimer & Co.,2019
34,Baird,2019
35,Deloitte Corporate Finance LLC,2019
36,BNP Paribas USA,2019
37,Nomura Holdings Inc.,2019
38,HSBC North America Holdings,2019
39,Bank of New York Mellon Corporation,2019
40,LionTree Advisors LLC,2019
41,Royal Bank of Scotland Group plc,2019
42,Cantor Fitzgerald,2019
43,Raymond James Financial Inc.,2019
44,Tudor Pickering Holt & Co.,2019
45,Societe Generale Corporate & Investment Banking,2019
46,Stifel Financial Corp.,2019
47,EY LLP (Financial Advisory Services),2019
48,Brown Brothers Harriman,2019
49,CIBC World Markets,2019
50,Lloyds Banking Group PLC,2019
