Rank,Name (Full),Name,Year
20,Barclays Investment Bank (Americas),Barclays,2014
21,Deutsche Bank AG,Deutsche Bank,2014
22,Bank of America Corp.,Bank of America,2014
23,Moelis & Company,Moelis & Company,2014
24,Jefferies,Jefferies,2014
25,Rothschild,Rothschild,2014
26,UBS,UBS,2014
27,Wells Fargo & Company,Wells Fargo,2014
28,Allen & Company LLC,Allen & Company LLC,2014
29,Qatalyst Partners,Qatalyst Partners,2014
30,Macquarie Group (U.S.),Macquarie Group (U.S.),2014
31,Oppenheimer & Co.,Oppenheimer & Co.,2014
32,HSBC North America Holdings,HSBC,2014
33,BNP Paribas USA,BNP Paribas USA,2014
34,Nomura Holdings Inc.,Nomura Holdings Inc.,2014
35,BMO Capital Markets,BMO Capital Markets,2014
36,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2014
37,Piper Jaffray Companies,Piper Jaffray Companies,2014
38,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2014
39,Deloitte Corporate Finance LLC,Deloitte,2014
40,Brown Brothers Harriman,Brown Brothers Harriman,2014
41,Cantor Fitzgerald,Cantor Fitzgerald,2014
42,Raymond James Financial Inc.,Raymond James Financial Inc.,2014
43,Credit Agricole Corporate and Investment Bank,Credit Agricole Corporate and Investment Bank,2014
44,Sandler O'Neill + Partners L.P.,Sandler O'Neill + Partners L.P.,2014
45,Stifel Financial Corp.,Stifel Financial Corp.,2014
46,Miller Buckfire & Co. LLC,Miller Buckfire & Co. LLC,2014
47,Lloyds Banking Group PLC,Lloyds Banking Group PLC,2014
48,TD Securities,TD Securities,2014
49,Tudor Pickering Holt & Co.,Tudor Pickering Holt & Co.,2014
50,Duff & Phelps Corporation,Duff & Phelps Corporation,2014
1,Blackstone,Blackstone,2015
2,Goldman Sachs & Co.,Goldman Sachs,2015
3,Morgan Stanley,Morgan Stanley,2015
4,J.P. Morgan,J.P. Morgan,2015
5,Centerview Partners,Centerview Partners,2015
6,Evercore,Evercore,2015
7,Houlihan Lokey,Houlihan Lokey,2015
8,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2015
9,Perella Weinberg Partners,Perella Weinberg Partners,2015
10,Credit Suisse,Credit Suisse,2015
11,PJ SOLOMON,PJ SOLOMON,2015
12,Moelis & Company,Moelis & Company,2015
13,William Blair,William Blair,2015
14,Lazard,Lazard,2015
15,RBC Capital Markets,RBC Capital Markets,2015
16,Citi Institutional Clients Group,Citi,2015
17,Canaccord Genuity,Canaccord Genuity,2015
18,SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,2015
19,UBS,UBS,2015
20,Deutsche Bank AG,Deutsche Bank,2015
21,Barclays Investment Bank (Americas),Barclays,2015
22,Bank of America Corp.,Bank of America,2015
23,Jefferies,Jefferies,2015
24,Guggenheim Securities,Guggenheim Securities,2015
25,Rothschild,Rothschild,2015
26,Wells Fargo & Company,Wells Fargo,2015
27,Allen & Company LLC,Allen & Company LLC,2015
28,Qatalyst Partners,Qatalyst Partners,2015
29,Oppenheimer & Co.,Oppenheimer & Co.,2015
30,Macquarie Group (U.S.),Macquarie Group (U.S.),2015
31,HSBC North America Holdings,HSBC,2015
32,Nomura Holdings Inc.,Nomura Holdings Inc.,2015
33,BNP Paribas USA,BNP Paribas USA,2015
34,BMO Capital Markets,BMO Capital Markets,2015
35,Piper Jaffray Companies,Piper Jaffray Companies,2015
36,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2015
37,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2015
38,Deloitte Corporate Finance LLC,Deloitte,2015
39,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2015
40,Brown Brothers Harriman,Brown Brothers Harriman,2015
41,Baird,Baird,2015
42,Cantor Fitzgerald,Cantor Fitzgerald,2015
43,KPMG Corporate Finance,KPMG Corporate Finance,2015
44,Raymond James Financial Inc.,Raymond James Financial Inc.,2015
45,PwC Corporate Finance LLP,PwC Corporate Finance LLP,2015
46,Cowen Inc.,Cowen Inc.,2015
47,Sandler O'Neill + Partners L.P.,Sandler O'Neill + Partners L.P.,2015
48,Credit Agricole Corporate and Investment Bank,Credit Agricole Corporate and Investment Bank,2015
49,TD Securities,TD Securities,2015
50,Stifel Financial Corp.,Stifel Financial Corp.,2015
1,Blackstone,Blackstone,2016
2,Goldman Sachs & Co.,Goldman Sachs,2016
3,Morgan Stanley,Morgan Stanley,2016
4,Evercore,Evercore,2016
5,Centerview Partners,Centerview Partners,2016
6,Houlihan Lokey,Houlihan Lokey,2016
7,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2016
8,J.P. Morgan,J.P. Morgan,2016
9,Perella Weinberg Partners,Perella Weinberg Partners,2016
10,Credit Suisse,Credit Suisse,2016
11,Bank of America Corp.,Bank of America,2016
12,PJ SOLOMON,PJ SOLOMON,2016
13,William Blair,William Blair,2016
14,Baird,Baird,2016
15,UBS,UBS,2016
16,Moelis & Company,Moelis & Company,2016
17,Cowen Inc.,Cowen Inc.,2016
18,RBC Capital Markets,RBC Capital Markets,2016
19,Citi Institutional Clients Group,Citi,2016
20,Lazard,Lazard,2016
21,Barclays Investment Bank (Americas),Barclays,2016
22,Deutsche Bank AG,Deutsche Bank,2016
23,Guggenheim Securities,Guggenheim Securities,2016
24,Jefferies,Jefferies,2016
25,Rothschild,Rothschild,2016
26,Wells Fargo & Company,Wells Fargo,2016
27,Allen & Company LLC,Allen & Company LLC,2016
28,Qatalyst Partners,Qatalyst Partners,2016
29,Oppenheimer & Co.,Oppenheimer & Co.,2016
30,HSBC North America Holdings,HSBC,2016
31,Nomura Holdings Inc.,Nomura Holdings Inc.,2016
32,Macquarie Group (U.S.),Macquarie Group (U.S.),2016
33,BMO Capital Markets,BMO Capital Markets,2016
34,Piper Jaffray Companies,Piper Jaffray Companies,2016
35,BNP Paribas USA,BNP Paribas USA,2016
36,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2016
37,Deloitte Corporate Finance LLC,Deloitte,2016
38,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2016
39,Cantor Fitzgerald,Cantor Fitzgerald,2016
40,Tudor Pickering Holt & Co.,Tudor Pickering Holt & Co.,2016
41,KPMG Corporate Finance,KPMG Corporate Finance,2016
42,PwC Corporate Finance LLP,PwC Corporate Finance LLP,2016
43,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2016
44,Brown Brothers Harriman,Brown Brothers Harriman,2016
45,Raymond James Financial Inc.,Raymond James Financial Inc.,2016
46,EY LLP (Financial Advisory Services),EY LLP (Financial Advisory Services),2016
47,Stifel Financial Corp.,Stifel Financial Corp.,2016
48,LionTree Advisors LLC,LionTree Advisors LLC,2016
49,Lloyds Banking Group PLC,Lloyds Banking Group PLC,2016
50,Sandler O'Neill + Partners L.P.,Sandler O'Neill + Partners L.P.,2016
1,Goldman Sachs & Co.,Goldman Sachs,2017
2,Morgan Stanley,Morgan Stanley,2017
3,Centerview Partners,Centerview Partners,2017
4,Evercore,Evercore,2017
5,J.P. Morgan,J.P. Morgan,2017
6,Bank of America Corp.,Bank of America,2017
7,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2017
8,Perella Weinberg Partners,Perella Weinberg Partners,2017
9,Moelis & Company,Moelis & Company,2017
10,PJT Partners,PJT Partners,2017
11,Credit Suisse,Credit Suisse,2017
12,Houlihan Lokey,Houlihan Lokey,2017
13,PJ SOLOMON,PJ SOLOMON,2017
14,William Blair,William Blair,2017
15,UBS,UBS,2017
16,Baird,Baird,2017
17,Cowen Inc.,Cowen Inc.,2017
18,Citi Institutional Clients Group,Citi,2017
19,Loop Capital Markets,Loop Capital Markets,2017
20,Lazard,Lazard,2017
21,Barclays Investment Bank (Americas),Barclays,2017
22,Deutsche Bank AG,Deutsche Bank,2017
23,Guggenheim Securities,Guggenheim Securities,2017
